P00015731A0090|36 52|carbonic anhydrase
P00027739T0000|0 28|Serum gamma glutamyltransferase
P00029953T0045|17 22|lipase
P00030183T0000|33 38|HLA-B5
P00030937A0119|13 31|alkaline phosphatase
P00033873T0001|28 31|GGTP
P00050628A0202|2 4|IgG
P00052597T0000|9 23|immunoglobulin E
P00054900A0226|37 57|chloroacetate esterase
P00055040A0000|269 278|fibrinogen
P00056901A0308|10 21|human albumin
P00066874T0000|26 41|alpha fetoprotein
P00072928T0000|0 13|Serum-ferritin
P00083846T0000|0 6|Albumin
P00088391A0181|64 71|factor IX
P00089778A0000|114 116|FDP
P00100540T0000|44 66|platelet cyclo-oxygenase
P00101300A0257|49 50|N1
P00105401A0635|75 77|TBG
